Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-on Total,Add-ons Purchased,Extended Warranty,Accessory,Impulse
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,3/20/2024 0:00,Standard,40.21,"Accessory,Accessory,Accessory",0,3,0
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,4/20/2024 0:00,Overnight,26.09,Impulse Item,0,0,1
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,10/17/2023 0:00,Express,0,,0,0,0
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,8/9/2024 0:00,Overnight,60.16,"Impulse Item,Impulse Item",0,0,2
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,5/21/2024 0:00,Express,35.56,Accessory,0,1,0
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83,20.75,4,5/26/2024 0:00,Standard,65.78,"Impulse Item,Accessory",0,1,1
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,1/30/2024 0:00,Overnight,0,,0,0,0
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,6/24/2024 0:00,Overnight,75.33,"Extended Warranty,Extended Warranty",2,0,0
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,10/3/2023 0:00,Standard,43.05,Impulse Item,0,0,1
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,1/1/2024 0:00,Express,0,,0,0,0
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,6/25/2024 0:00,Overnight,90.38,"Impulse Item,Accessory,Impulse Item",0,1,2
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,11/7/2023 0:00,Overnight,55.48,"Accessory,Extended Warranty",1,1,0
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,9/25/2023 0:00,Express,65.85,"Extended Warranty,Impulse Item,Extended Warranty",2,0,1
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,7/7/2024 0:00,Standard,70.17,"Accessory,Accessory,Accessory",0,3,0
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,3/18/2024 0:00,Overnight,57.81,"Accessory,Impulse Item,Accessory",0,2,1
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,1/2/2024 0:00,Standard,69.31,"Extended Warranty,Extended Warranty",2,0,0
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,5/18/2024 0:00,Standard,8.3,Accessory,0,1,0
1015,22,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83,20.75,4,9/2/2024 0:00,Standard,80,"Accessory,Accessory,Accessory",0,3,0
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,7/7/2024 0:00,Overnight,0,,0,0,0
1018,34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,7/23/2024 0:00,Express,70.39,"Impulse Item,Extended Warranty",1,0,1
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83,20.75,4,3/14/2024 0:00,Express,0,,0,0,0
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,4/20/2024 0:00,Express,37.87,"Impulse Item,Impulse Item",0,0,2
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,7/21/2024 0:00,Express,49.17,Accessory,0,1,0
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,12/2/2023 0:00,Express,37.13,"Impulse Item,Accessory,Extended Warranty",1,1,1
1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,3/20/2024 0:00,Overnight,49.54,"Accessory,Extended Warranty",1,1,0
1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,6758.64,844.83,8,4/27/2024 0:00,Overnight,73.49,"Impulse Item,Accessory,Impulse Item",0,1,2
1024,49,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,7/10/2024 0:00,Overnight,51.93,"Extended Warranty,Impulse Item",1,0,1
1025,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,1/29/2024 0:00,Overnight,0,,0,0,0
1025,77,Male,No,Smartphone,SKU1001,5,Completed,Cash,83,20.75,4,8/28/2024 0:00,Express,77.78,"Extended Warranty,Extended Warranty",2,0,0
1027,22,Male,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,11/28/2023 0:00,Overnight,0,,0,0,0
1028,79,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,11/30/2023 0:00,Overnight,0,,0,0,0
